timestamp_utc,run_name,phase,epoch,loss,accuracy,epoch_time_sec,avg_step_time_sec,samples,batches,samples_per_sec,batches_per_sec,optimizer_steps,peak_vram_mb
2026-02-25T23:19:31.960540+00:00,standard_bs32_acc1,train,1,0.09956893286732482,0.96794621072433,122.43182563500886,0.03242119225739182,53691,1678,438.53793506324456,13.70558669117961,1678,1702.5380859375
2026-02-25T23:19:31.960794+00:00,standard_bs32_acc1,val,1,0.11689214291776553,0.9646440516005733,9.85234399199544,0.01870904662608585,4186,131,424.8735126789042,13.296328275426767,1678,1702.5380859375
2026-02-25T23:21:40.309754+00:00,standard_bs32_acc1,train,2,0.06435090115935349,0.9806485258236949,118.97347364800225,0.03101087442307817,53691,1678,451.2854702288635,14.10398426261446,3356,573.32275390625
2026-02-25T23:21:40.310299+00:00,standard_bs32_acc1,val,2,0.1103203687481462,0.9665551839464883,9.289030896994518,0.015461892144619451,4186,131,450.6390436654041,14.102655212653591,3356,573.32275390625
2026-02-25T23:23:48.329187+00:00,standard_bs32_acc1,train,3,0.05678534453972014,0.9833864148553761,118.68122538700118,0.030899076715667932,53691,1678,452.3967445139021,14.138714818020295,5034,573.32275390625
2026-02-25T23:23:48.329695+00:00,standard_bs32_acc1,val,3,0.14134019607659368,0.9541328236980411,9.249523227001191,0.0154409397938662,4186,131,452.5638670521132,14.162892160493747,5034,573.32275390625
2026-02-25T23:25:55.695041+00:00,standard_bs32_acc1,train,4,0.0503137866273264,0.9851744240189231,117.94568226698902,0.03089873048850507,53691,1678,455.2180204313184,14.22688790083538,6712,573.32275390625
2026-02-25T23:25:55.695437+00:00,standard_bs32_acc1,val,4,0.10216872903319053,0.9675107501194458,9.395145411996054,0.015555030535324477,4186,131,445.54925085620994,13.943371204530221,6712,573.32275390625
2026-02-25T23:28:03.047750+00:00,standard_bs32_acc1,train,5,0.045691464586817145,0.9859939282188821,118.09422478399938,0.030922259280656304,53691,1678,454.6454333241418,14.20899288740962,8390,573.32275390625
2026-02-25T23:28:03.048184+00:00,standard_bs32_acc1,val,5,0.1024083290991097,0.9679885332059245,9.170996945002116,0.015664806373871486,4186,131,456.4389264442214,14.284161338794314,8390,573.32275390625
