effective_batch_size,micro_batch_size,accumulation_steps,status,run_name,run_dir,best_val_loss,final_val_acc,total_train_time_sec,peak_vram_mb,avg_samples_per_sec,error
128,64,2,success,ga_resnet50_mb64_ebs128_acc2_full,D:\Projects\ML_Algorithms\batchsize\runs\gradient_accumulation_compare\ga_resnet50_mb64_ebs128_acc2_full,0.108512529837678,0.964405160057334,567.2771935000001,3181.58740234375,526.8670324382574,
256,64,4,success,ga_resnet50_mb64_ebs256_acc4_full,D:\Projects\ML_Algorithms\batchsize\runs\gradient_accumulation_compare\ga_resnet50_mb64_ebs256_acc4_full,0.108325849700589,0.9660774008600096,549.3300355000001,3178.58740234375,540.5215595263122,
512,64,8,success,ga_resnet50_mb64_ebs512_acc8_full,D:\Projects\ML_Algorithms\batchsize\runs\gradient_accumulation_compare\ga_resnet50_mb64_ebs512_acc8_full,0.10398224911009901,0.9658385093167702,549.7966635000002,3270.76513671875,542.990200632678,
1024,64,16,success,ga_resnet50_mb64_ebs1024_acc16_full,D:\Projects\ML_Algorithms\batchsize\runs\gradient_accumulation_compare\ga_resnet50_mb64_ebs1024_acc16_full,0.10630473579018401,0.9675107501194458,548.7046839,3266.39013671875,541.5809147326376,
2048,64,32,success,ga_resnet50_mb64_ebs2048_acc32_full,D:\Projects\ML_Algorithms\batchsize\runs\gradient_accumulation_compare\ga_resnet50_mb64_ebs2048_acc32_full,0.10184035445681401,0.9698996655518396,548.8760545000005,3266.39013671875,542.6659668138855,
4096,64,64,success,ga_resnet50_mb64_ebs4096_acc64_full,D:\Projects\ML_Algorithms\batchsize\runs\gradient_accumulation_compare\ga_resnet50_mb64_ebs4096_acc64_full,0.12212277098429301,0.9639273769708552,547.0855169999995,3266.39013671875,543.284883389872,
8192,64,128,success,ga_resnet50_mb64_ebs8192_acc128_full,D:\Projects\ML_Algorithms\batchsize\runs\gradient_accumulation_compare\ga_resnet50_mb64_ebs8192_acc128_full,0.138749064663153,0.9591495461060678,548.5118361000004,3269.26513671875,543.3792191869628,
