timestamp_utc,run_name,phase,epoch,loss,accuracy,epoch_time_sec,avg_step_time_sec,samples,batches,samples_per_sec,batches_per_sec,optimizer_steps,peak_vram_mb
2026-02-28T00:01:51.622898+00:00,ga_resnet50_mb64_ebs8192_acc128_full,train,1,0.5331063640817923,0.7926468123149131,115.0923173000001,0.11104198915376004,53691,839,466.5037707082465,7.289800220227204,7,3269.26513671875
2026-02-28T00:01:51.623387+00:00,ga_resnet50_mb64_ebs8192_acc128_full,val,1,0.3521027302719222,0.8635929288103201,26.68972600000052,0.07021784999993873,4186,66,156.83937706966037,2.4728616547055866,7,3269.26513671875
2026-02-28T00:03:32.037145+00:00,ga_resnet50_mb64_ebs8192_acc128_full,train,2,0.24936113088600897,0.9090722839954555,95.13351000000057,0.11074472491061993,53691,839,564.3752658763424,8.819184743630242,14,3269.26513671875
2026-02-28T00:03:32.038653+00:00,ga_resnet50_mb64_ebs8192_acc128_full,val,2,0.19830878888427272,0.9292881032011466,5.174679699999615,0.06584368939396275,4186,66,808.9389571301025,12.754412606446909,14,3269.26513671875
2026-02-28T00:05:14.404027+00:00,ga_resnet50_mb64_ebs8192_acc128_full,train,3,0.14399204474807806,0.9506248719524688,95.16178130000026,0.11082842467221803,53691,839,564.2075974885083,8.816564681098479,21,3269.26513671875
2026-02-28T00:05:14.404529+00:00,ga_resnet50_mb64_ebs8192_acc128_full,val,3,0.15840430699228328,0.9476827520305782,7.11568250000073,0.06571302575756624,4186,66,588.2780745205496,9.275287367022521,21,3269.26513671875
2026-02-28T00:06:55.200222+00:00,ga_resnet50_mb64_ebs8192_acc128_full,train,4,0.10290753686465925,0.9673502076698143,95.53229600000031,0.11064339284862469,53691,839,562.0193614942514,8.78237030961757,28,3269.26513671875
2026-02-28T00:06:55.201224+00:00,ga_resnet50_mb64_ebs8192_acc128_full,val,4,0.15072924980508387,0.955327281414238,5.17236370000046,0.06575418484856003,4186,66,809.3011711453369,12.76012357754234,28,3269.26513671875
2026-02-28T00:08:38.265253+00:00,ga_resnet50_mb64_ebs8192_acc128_full,train,5,0.08553380613166855,0.9732729880240636,95.91273579999961,0.11075954290820036,53691,839,559.7901003674657,8.747534860745818,35,3269.26513671875
2026-02-28T00:08:38.265751+00:00,ga_resnet50_mb64_ebs8192_acc128_full,val,5,0.13874906466315365,0.9591495461060678,7.063952900000004,0.06564668484854723,4186,66,592.5860575882375,9.343210654759599,35,3269.26513671875
