timestamp_utc,run_name,phase,epoch,loss,accuracy,epoch_time_sec,avg_step_time_sec,samples,batches,samples_per_sec,batches_per_sec,optimizer_steps,peak_vram_mb
2026-02-28T02:20:52.519686+00:00,ga_resnet50_mb64_ebs8192_acc128_full,train,1,0.5315776837750001,0.7970423348419661,197.02374060000147,0.20834535208578386,53691,839,272.5103068112168,4.258370069743735,7,5789.90185546875
2026-02-28T02:20:52.520187+00:00,ga_resnet50_mb64_ebs8192_acc128_full,val,1,0.3556430800731138,0.8623984710941233,25.111743499999648,0.06900723030291071,4186,66,166.69491706141625,2.628252395139387,7,5789.90185546875
2026-02-28T02:23:53.328166+00:00,ga_resnet50_mb64_ebs8192_acc128_full,train,2,0.2484637029820512,0.9092585349499916,173.69110290000026,0.20456971382599573,53691,839,309.11773316858773,4.830414373515955,14,5696.84912109375
2026-02-28T02:23:53.328665+00:00,ga_resnet50_mb64_ebs8192_acc128_full,val,2,0.19983339897053012,0.927615862398471,7.021544799999901,0.06512006212131272,4186,66,596.1651060034621,9.399640945109534,14,5696.84912109375
2026-02-28T02:26:52.219252+00:00,ga_resnet50_mb64_ebs8192_acc128_full,train,3,0.14253268808182512,0.9514071259615206,173.64599309999903,0.20456594791421887,53691,839,309.1980358514837,4.831669219783481,21,5696.84912109375
2026-02-28T02:26:52.220255+00:00,ga_resnet50_mb64_ebs8192_acc128_full,val,3,0.1586207339973525,0.9474438604873388,5.160522400001355,0.06527217272733568,4186,66,811.158188170814,12.78940287130285,21,5696.84912109375
2026-02-28T02:29:53.465780+00:00,ga_resnet50_mb64_ebs8192_acc128_full,train,4,0.10151245860705793,0.9674805833379896,174.12666490000083,0.2045493545888462,53691,839,308.3445033007104,4.818331531714739,28,5696.84912109375
2026-02-28T02:29:53.466280+00:00,ga_resnet50_mb64_ebs8192_acc128_full,val,4,0.1471687408348361,0.9562828475871954,7.035544900001696,0.0651954757575533,4186,66,594.9787911948356,9.380936507133098,28,5696.84912109375
2026-02-28T02:32:53.100213+00:00,ga_resnet50_mb64_ebs8192_acc128_full,train,5,0.08470428138344098,0.9737944906967648,174.37657779999972,0.20458189558999218,53691,839,307.90259034433285,4.811425998750168,35,5696.84912109375
2026-02-28T02:32:53.101215+00:00,ga_resnet50_mb64_ebs8192_acc128_full,val,5,0.13908149585095791,0.9591495461060678,5.173989999999321,0.06521425151525116,4186,66,809.0467898083585,12.756112787231645,35,5696.84912109375
