timestamp_utc,run_name,phase,epoch,loss,accuracy,epoch_time_sec,avg_step_time_sec,samples,batches,samples_per_sec,batches_per_sec,optimizer_steps,peak_vram_mb
2026-02-28T13:24:07.498753+00:00,standard_bs32_acc1,train,1,0.09947829191827065,0.9686353392561137,110.47468439999648,0.026914859296795733,53691,1678,486.0027461640045,15.189000168802957,1678,678.173828125
2026-02-28T13:24:07.499258+00:00,standard_bs32_acc1,val,1,0.11185663697804599,0.967032967032967,27.14725200000248,0.01737329618325937,4186,131,154.1960858505906,4.8255344592516405,1678,678.173828125
2026-02-28T13:25:25.601179+00:00,standard_bs32_acc1,train,2,0.06366641249091223,0.9815425304054683,71.24111460000131,0.026353779439897987,53691,1678,753.6518806795734,23.55381452720799,3356,570.384765625
2026-02-28T13:25:25.601679+00:00,standard_bs32_acc1,val,2,0.10837565852354498,0.9665551839464883,6.808458999999857,0.012106133587642854,4186,131,614.8234130513363,19.24077092922242,3356,570.384765625
2026-02-28T13:26:33.768489+00:00,standard_bs32_acc1,train,3,0.056511457550368245,0.9829207874690358,63.69500619999599,0.024742888438650686,53691,1678,842.9389241507505,26.34429447626156,5034,570.384765625
2026-02-28T13:26:33.768992+00:00,standard_bs32_acc1,val,3,0.11829326340603401,0.9610606784519828,4.423381900000095,0.012605124427072742,4186,131,946.3347489846875,29.615349287385108,5034,570.384765625
2026-02-28T13:27:46.299457+00:00,standard_bs32_acc1,train,4,0.05002476734947675,0.9856959266916243,65.72412469999836,0.02548857908226945,53691,1678,816.9146450420715,25.530960019008695,6712,570.384765625
2026-02-28T13:27:46.299457+00:00,standard_bs32_acc1,val,4,0.10894556359750975,0.9646440516005733,6.790559799999755,0.012154563358329052,4186,131,616.4440227741093,19.29148757367614,6712,570.384765625
2026-02-28T13:28:56.759668+00:00,standard_bs32_acc1,train,5,0.04451267509163633,0.9869438080870164,66.01299930000096,0.02613436680558076,53691,1678,813.33980533133,25.419235874652582,8390,570.384765625
2026-02-28T13:28:56.760235+00:00,standard_bs32_acc1,val,5,0.10874760187698028,0.9701385570950788,4.431658999994397,0.011982433587605514,4186,131,944.5672602529419,29.560036094872284,8390,570.384765625
