Precision,Avg Time/Epoch (s),Total Time (s),Peak Memory (MB),Final Val Acc,Final Val AUC,Final Val F1
FP32,225.07223529815673,1125.3611764907837,2955.7958984375,0.9701385570950788,0.9940283306727019,0.9650667610414905
FP16,141.98876495361327,709.9438247680664,1729.3173828125,0.6954132823698042,,0.4101733126673242
AMP,140.3101933002472,701.550966501236,2003.462890625,0.9720496894409938,0.9935119661055765,0.9672465441185765
